299291
49082	10984	0
49082	47288	0
49082	230	1
49082	21973	2
49082	217	2
49082	323	3
49082	409	3
49082	4247	3
49082	7664	3
49082	21319	3
49082	90	3
49082	230	4
49082	36844	5
49082	118	6
49082	3	7
49082	2	8
49082	208	9
49082	19324	10
49082	526	11
49082	15716	12
49082	1023	13
763	44708	14
763	14852	14
763	27055	14
763	19587	14
763	28415	15
763	49482	16
763	34143	17
763	763	18
763	2631	19
763	4036	8
763	9104	8
763	15032	8
763	1868	20
763	460	21
763	130	21
763	977	21
763	24622	22
763	32614	22
763	4916	9
763	208	9
763	29867	9
763	33067	2
763	33306	2
763	14397	2
763	8972	2
763	33922	2
763	23547	2
763	2022	23
763	535	23
763	15011	23
763	18015	24
763	6356	25
763	470	25
763	18	25
763	9234	25
763	373	25
763	18	26
763	6356	26
763	120	26
763	0	26
763	901	26
763	9098	27
314	1401	14
314	13026	14
314	6504	14
314	10610	14
314	1916	14
314	20860	14
314	5387	14
314	1390	14
314	546	14
314	15366	14
314	16757	14
314	10510	14
314	14161	14
314	2561	14
314	25014	14
314	20628	14
314	49482	16
314	34143	17
314	314	18
314	2631	19
314	4036	8
314	9104	8
314	15032	8
314	2218	20
314	4410	21
314	1560	21
314	33067	2
314	14397	2
314	8972	2
314	33922	2
314	23547	2
314	15011	23
314	34522	23
314	216	25
314	470	25
314	18	25
314	373	25
314	28058	28
314	247	26
314	1530	26
314	232	26
314	1123	26
7950	35393	29
7950	49731	30
7950	28437	30
7950	230	1
7950	4620	31
7950	15602	32
7950	6468	33
7950	13766	34
7950	223	3
7950	6005	3
7950	842	3
7950	2235	3
7950	16622	3
7950	1178	3
7950	4674	3
7950	1880	3
7950	230	4
7950	23359	4
7950	43	6
7950	3	7
7950	26206	35
7950	41546	36
7950	2	8
7950	26206	37
7950	1331	37
7950	33690	38
7950	13673	11
7950	15056	11
7950	6657	12
7950	5316	39
7950	1023	13
405	5748	40
405	16246	41
405	22831	14
405	11975	14
405	10938	14
405	49482	16
405	34143	17
405	2631	19
405	4036	8
405	9104	8
405	15032	8
405	3212	20
405	868	21
405	35108	22
405	405	18
405	1602	9
405	33067	2
405	33306	2
405	14397	2
405	8972	2
405	33922	2
405	23547	2
405	46520	23
405	18015	24
405	470	25
405	336	25
405	18	25
405	373	25
405	1575	25
405	1329	28
405	100	26
846	14603	42
846	14603	43
846	9607	23
846	46520	23
846	34522	23
846	3425	23
846	30799	23
846	25588	23
0	6991	14
0	19655	14
0	4920	14
0	28776	14
0	28674	14
0	23657	14
0	7771	14
0	11982	14
0	24458	14
0	13294	14
0	28054	14
0	901	44
0	49482	16
0	34143	17
0	901	18
0	2631	19
0	20321	8
0	9104	8
0	345	20
0	460	21
0	230	21
0	8709	22
0	5571	22
0	4916	9
0	33306	2
0	14397	2
0	42706	2
0	17462	2
0	12946	2
0	12683	2
0	44894	2
0	23547	2
0	33922	2
0	535	23
0	15011	23
0	470	25
0	373	25
0	18	25
0	18	26
0	763	26
3791	14770	45
3791	8377	46
3791	20983	46
3791	19694	46
3791	2401	46
3791	3361	46
3791	8156	46
3791	4397	46
3791	6978	46
3791	18518	46
3791	28645	46
3791	354	46
3791	6925	46
3791	3451	46
